Description	Model (CSV)
5130	59J78
BMP-21-PLUS	M21-375-595-WT
1350CNW	TRNFF
1765NF	DC9NW
2335DN	HX756, NX993, NX994
2350DN	DM631, XN009, RR700
2360DN	90DC4, W5CW0, 7MC5J, C3NTP, 0XDWW, 1V7V7, C3NTP
2660DN	M20HF, KWJ3T, FXKGW, RP5V1, TXM5D, Y5CW4, RD80W, VXCWK, YR3W3, 488NH, PGT7T, 59J78
3115CN	XG725, XG728, XG727, XG726
3330DN	DM631, U902R, U903R, P981R, P982R, U903R
5130CDN	J353R, G696R, H486R, Y984P, D718R, F901R, D714R, H353R, G439R, D607R, G450R, F916R, P946P
5350DN	C605T, G310T, J237T, JN4WK, K327T, F33VD, JN4WK
5535DN	2JVMR, 1TMYH, PK6Y4, V8KHY, H1RP7, PK6Y4
700 M712DN	CF214X, CF214A
B2360	90DC4, W5CW0, 7MC5J, C3NTP, 0XDWW, 1V7V7, C3NTP
B2360DN	90DC4, W5CW0, 7MC5J, C3NTP, 0XDWW, 1V7V7, C3NTP
B2375DNF	C7D6F
B3460DN	M11XH
B3465DN	M11XH
B3465DNF	M11XH
B4600	okt43502301
B5460	X5GDJ
B5460DN	X5GDJ
B5465	X5GDJ
B5465DNF	X5GDJ
BST1200ES	ABS Filament 56ci
BUBBLEJET COLOR 2100	BCI-21B, BC-20, BC-23, BC-22E, BC-21E
C1760NW	1250C, 810WH, C5GC3, XMX5D, WM2JC
C1765DN	810WH, WM2JC, XMX5D, C5GC3
C2660DN	67H2T, TW3NN, V4TG6, 2K1VC
C3760DN	W8D60, V0PNK, 2PRFP, 2GYKF
C3765DNF	W8D60, V0PNK, 2PRFP, 2GYKF
DESIGNJET 500	C4844A, C4911A, C4912A, C4913A
DESIGNJET T120	CZ133A, CZ130A, CZ131A, CZ132A
DESIGNJET T2300 PS EMFP	C9370A, C9371A, C9372A, C9373A, C9374A, C9403A
DESIGNJET T2500	C1Q12A, B3P19A, B3P21A, B3P20A
DESIGNJET T2530	F9J80A, F9J78A, F9J76A, F9J79A, F9J77A
DESKJET 550C	51625A, 51626A
DESKJET 5740	C9363WN, C8767WN
E525W	
LABEL WRITER 330 TURBO	
LASER PRINTER	
LASERJET 4300N	Q1339A
LASERJET 4350DTN	Q5942X
LASERJET 4700	Q5950A, Q5952A, Q5951A, Q5953A
LASERJET ENTERPRISE M750DN	CE270A, CE272A, CE273A, CE271A
LASERJET M712	CF214A
LASERJET P2035N	CE505A
LASERJET P3015DN	CE255A
OFFICEJET PRO 6230	N9H65FN#140, C2P23AN#140
OKIDATA B4600	1773538
PHOTOSMART D110A	CC643WN#140, CC640WN#140
PIXMA IP6600D	0620B010
PIXMA IP6700D	0625B002, 0620B002, 0642B002
PRINTRBOT SIMPLE V2	NULL
PT 9600	S-19336
S2825CDN	593-BBOU
S2830DN	GGCTW
S5830DN	8XTXR
S5840CDN	N848N, P614N, R272N, T222N
SB360	NULL
SD360	#506339-00X
STYLUS 4800	T605100, T605200, T605400, T605500, T605700, T605900
STYLUS PRO 9880	T602100, T602200, T602300, T602400, T602500, T602600, T602700, T602900
STYLUS PRO 9990	T636100, T636200, T636300, T636400, T636500, T636600, T636700, T636800, T636900, T636A00, T636B00
TM-U220A	NULL
VERSALINK B605X	106R03940, 106R03942, 106R03944, 106R04003
WORKCENTRE 6515	106R03473
Intellifax4100
S3840	1KTWP, XMHGR, G7P4G, C6DN5
S3845	1KTWP, XMHGR, G7P4G, C6DN5
